Expiry,callHedge,putHedge,netHedge,Price
2020-08-22,471467.8062516039,-170096.19452796257,301371.6117236412,820.0
2020-09-19,1227789.0930579372,-323298.25214577967,904490.8409121579,820.0
2020-10-17,449435.6445519342,-205029.38438977543,244406.2601621588,820.0
2021-01-16,9638381.270927029,-1500498.1484018129,8137883.122525212,820.0
2021-03-20,898362.2305107688,-148243.647161164,750118.5833496054,820.0
2021-06-19,2487125.582515069,-205480.1781835428,2281645.404331525,820.0
2021-09-18,326677.41067967605,-30082.126637500292,296595.28404217545,820.0
2022-01-19,8224.688170431815,-1306.9609066791616,6917.727263752653,820.0
2022-01-22,3069763.819945903,-358150.58514315163,2711613.2348027504,820.0
2022-03-19,18339.390433756067,-17635.37686373724,704.0135700188325,820.0
2022-06-18,2183173.8899560208,-254685.14376009154,1928488.7461959298,820.0
2020-02-15,6287979.207743983,-464280.3259160342,5823698.881827951,870.0
2020-02-22,8688991.41491867,-578741.5344408746,8110249.88047779,870.0
2020-02-29,1681534.7583332597,-234250.9406782927,1447283.817654966,870.0
2020-03-07,599371.1492402813,-147610.14255777348,451761.0066825079,870.0
2020-03-14,202093.12354052856,-80100.27004748193,121992.85349304657,870.0
2020-03-21,9573989.318619968,-684101.1469932523,8889888.171626711,870.0
2020-03-28,79452.46111319361,-9468.921354157976,69983.53975903563,870.0
2020-04-18,1997597.2359613143,-306673.8566871329,1690923.3792741825,870.0
2020-05-16,2542321.0581441494,-384503.7406108454,2157817.3175333035,870.0
2020-06-16,0.0,-6.669799900213455,-6.669799900213455,870.0
2020-06-20,5824387.189518507,-954429.7775709716,4869957.411947534,870.0
2020-07-18,915211.4594762259,-190390.63540863927,724820.8240675867,870.0
2020-08-22,496985.76230866346,-150403.1745112124,346582.5877974509,870.0
2020-09-19,1266077.6943872848,-286484.0060312037,979593.6883560794,870.0
2020-10-17,471731.6149770235,-186672.69680359398,285058.91817342996,870.0
2021-01-16,9820541.077851323,-1337902.3551730183,8482638.722678304,870.0
2021-03-20,919494.3379553156,-134732.7396535581,784761.598301757,870.0
2021-06-19,2525145.911882902,-187727.78233562448,2337418.129547279,870.0
2021-09-18,331574.1000502741,-27908.34881593783,303665.7512343363,870.0
2022-01-19,8351.095121304197,-1204.285313342417,7146.80980796178,870.0
2022-01-22,3122221.1223837603,-330442.88033482764,2791778.2420489285,870.0
2022-03-19,18839.910679052202,-16797.12175653733,2042.7889225148754,870.0
2022-06-18,2224837.0711203157,-238332.8582588962,1986504.2128614192,870.0
